ip,protocols
79.127.175.116,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
79.127.175.9,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
173.239.205.9,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
84.17.56.177,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
84.17.56.147,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
84.17.56.48,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
154.47.29.227,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
154.47.29.203,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
86.106.74.246,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
185.189.114.115,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
173.239.201.141,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
149.34.243.90,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
149.34.242.240,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
155.2.195.34,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
149.88.26.84,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
149.88.26.40,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
91.90.124.133,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
91.90.124.156,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
103.108.174.167,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
62.133.46.7,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
62.133.46.26,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
45.133.193.7,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
45.133.193.29,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
212.102.55.103,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
138.199.54.12,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
84.17.58.60,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
84.17.58.5,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
87.101.94.71,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
87.101.94.120,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
185.217.71.27,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
185.217.71.140,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
185.217.71.152,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP, OPENVPN_LEGACY, OPENVPN_TCP_LEGACY"
154.47.23.1,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
154.47.20.233,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
62.12.118.199,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
188.215.235.48,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
188.215.235.45,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
173.244.42.150,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
62.133.47.151,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
62.133.47.136,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
64.64.98.9,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
91.90.122.133,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
91.90.122.155,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
98.159.40.15,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
95.181.239.144,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
194.32.122.25,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
194.32.122.14,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
37.46.113.234,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
196.196.53.38,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
196.196.53.122,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
196.196.53.30,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
95.181.232.26,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
95.181.232.137,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
95.181.233.164,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
95.181.233.139,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
95.181.233.152,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
178.175.130.253,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
178.175.132.162,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
176.125.229.137,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
185.225.28.8,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
98.159.41.14,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
173.244.58.10,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
84.252.92.131,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
176.125.230.140,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
